pthat_label	sigmaGen_mb	log_file
pythia_config_13_6_TEV_pthat_5_11	6.556e+01	20251105_112031_run_config_files_13_6_TeV/logs/pythia_config_13_6_TEV_pthat_5_11/0.out
pythia_config_13_6_TEV_pthat_11_21	5.766e+00	20251105_112031_run_config_files_13_6_TeV/logs/pythia_config_13_6_TEV_pthat_11_21/0.out
pythia_config_13_6_TEV_pthat_21_36	6.270e-01	20251105_112031_run_config_files_13_6_TeV/logs/pythia_config_13_6_TEV_pthat_21_36/0.out
pythia_config_13_6_TEV_pthat_36_57	7.568e-02	20251105_112031_run_config_files_13_6_TeV/logs/pythia_config_13_6_TEV_pthat_36_57/0.out
pythia_config_13_6_TEV_pthat_57_84	1.128e-02	20251105_112031_run_config_files_13_6_TeV/logs/pythia_config_13_6_TEV_pthat_57_84/0.out
pythia_config_13_6_TEV_pthat_84_117	2.092e-03	20251105_112031_run_config_files_13_6_TeV/logs/pythia_config_13_6_TEV_pthat_84_117/0.out
pythia_config_13_6_TEV_pthat_117_152	4.820e-04	20251105_112031_run_config_files_13_6_TeV/logs/pythia_config_13_6_TEV_pthat_117_152/0.out
pythia_config_13_6_TEV_pthat_152_191	1.545e-04	20251105_112031_run_config_files_13_6_TeV/logs/pythia_config_13_6_TEV_pthat_152_191/0.out
pythia_config_13_6_TEV_pthat_191_234	4.966e-05	20251105_112031_run_config_files_13_6_TeV/logs/pythia_config_13_6_TEV_pthat_191_234/0.out
pythia_config_13_6_TEV_pthat_234_infy	2.869e-05	20251105_112031_run_config_files_13_6_TeV/logs/pythia_config_13_6_TEV_pthat_234_infy/0.out
